"mrk_line","mrk_on_dcpt","mrk_on_risk","mrk_hack_on_dcpt","mrk_trap_on_dcpt","mrk_hack_on_risk","mrk_trap_on_risk","mrk_hack","mrk_trap","mrk_neutral","mrk_query_type","applied_honeywire","present_risk"
"0.000 GET https://www.site.com/complete/search?q=performance&cp=0&client=desktop-gws-wiz-on-focus-serp 200 OK (1.5 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","",""
"0.000 POST https://juice-shop.herokuapp.com/rest/user/login 401 Unauthorized (38 bytes)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-dev-endpoint",""
"0.000 POST https://juice-shop.herokuapp.com/rest/user/login?user=maltier&hash=g5GQ7eZ7e6 401 Unauthorized (38 bytes)",0,8,0,0,6,2,6,2,0,"networkrequests","","networkrequests-password-hashes-in-query-parameters"
"0.000 POST https://www.app.com/2/profile_services/impersonate?username=hugo&role=admin 200 OK (2.5 kB)",0,10,0,0,9,1,9,1,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"0.001 GET https://juice-shop.herokuapp.com/rest/products/search?q= 200 OK (3.9 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"0.002 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"0.003 GET https://www.site.com/complete/search?q&cp=0&client=gws-wiz-serp&xssi=t&hl=en-AT&authuser=0&pq=performance 200 OK (2.9 kB)",0,0,0,0,0,0,5,2,0,"networkrequests","",""
"0.034 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.3 kB)",0,0,0,0,0,0,5,0,0,"networkrequests","",""
"0.037 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.3 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","",""
"0.096 GET https://starling-oversea.bytesite.com/check_and_get_text/5q8QNUD1-KN-cTk2KV9yA/normal/WebApp_Login?lang=en,zh&version=89060992 200 OK (1.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.110 HEAD https://completion.site.com/api/2017/suggestions 204 No Content (0.3 kB)",0,0,0,0,0,0,4,0,0,"networkrequests","networkrequests-path-traversal",""
"0.114 OPTIONS https://vmweb-va.bytesite.com/service/2/abtest_config/ 200 OK (1.3 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.120 POST https://juice-shop.herokuapp.com/rest/user/data-export 200 OK (0.4 kB)",0,0,0,0,0,0,14,0,0,"networkrequests","networkrequests-sessid-parameter",""
"0.174 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/%F0%9F%98%BC- 200 OK (1.5 kB)",0,0,0,0,0,0,3,1,0,"networkrequests","",""
"0.175 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/magn(et)ificent!-1571814229653.jpg 200 OK (108.0 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.175 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/my-rare-collectors-item!-[%CC%B2%CC%85$%CC%B2%CC%85(%CC%B2%CC%85-%CD%A1%C2%B0-%CD%9C%CA%96-%CD%A1%C2%B0%CC%B2%CC%85)%CC%B2%CC%85$%CC%B2%CC%85]-1572603645543.jpg 200 OK (71.3 kB)",0,0,0,0,0,0,6,1,0,"networkrequests","",""
"0.176 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/IMG_4253.jpg 200 OK (6.3 MB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.176 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/favorite-hiking-place.png 200 OK (666.7 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.213 GET https://juice-shop.herokuapp.com/api/Products/1?d=Mon%20Jan%2002%202023 200 OK (0.3 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","","networkrequests-broken-object-level-authorization"
"0.215 GET https://juice-shop.herokuapp.com/rest/image-captcha/ 200 OK (4.1 kB)",0,0,0,0,0,0,0,1,0,"networkrequests","networkrequests-sessid-parameter",""
"0.247 GET https://jira.site.org/ruxitagentjs_ICA27NVfjqrux_553484267.js 200 OK (88.3 kB)",0,0,0,0,0,0,0,1,0,"networkrequests","",""
"0.265 POST https://mcs-va.site.com/v1/list 200 OK (1.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.303 GET https://juice-shop.herokuapp.com/103.js 200 OK (3.4 kB)",0,0,0,0,0,0,5,3,0,"networkrequests","",""
"0.309 OPTIONS https://aan.site.com/cem 200 OK (0.6 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","networkrequests-path-traversal",""
"0.367 GET https://juice-shop.herokuapp.com/assets/public/images/products/apple_juice.jpg 200 OK (15.3 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"0.374 POST https://mail.site.com/mail/u/0/logstreamz 204 No Content",0,0,0,0,0,0,3,0,0,"networkrequests","networkrequests-admin-false","networkrequests-mass-assignment"
"0.380 GET https://juice-shop.herokuapp.com/rest/basket/NaN 200 OK (30 bytes)",0,0,0,0,0,0,11,3,0,"networkrequests","networkrequests-sessid-parameter",""
"0.381 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,10,1,0,"networkrequests","networkrequests-sessid-parameter",""
"0.392 GET https://mail.site.com/mail/u/0/data?sw=2&token=%5B%22cftp%22,%226e75e4f3f0%22,%22mail.pinto-server_20221219.06_p0%22,%22ZyMrtXyj5A%5Cu003d%5Cu003d%22,%227841,7278,7137%22,3%5D&dilte=0 200 OK (324.8 kB)",0,0,0,0,0,0,4,1,0,"networkrequests","",""
"0.414 GET http://avatars.siteusercontent.com/u/10400532?s=40&v=4 200 OK (1.1 kB)",0,7,0,0,6,1,6,1,0,"networkrequests","networkrequests-sessid-parameter","networkrequests-insecure-http"
"0.414 GET https://avatars.siteusercontent.com/u/10400532?s=40&v=4 200 OK (1.1 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-system-parameter",""
"0.415 GET http://avatars.siteusercontent.com/u/6333118?s=40&v=4 200 OK (1.5 kB)",0,6,0,0,5,1,5,1,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"0.415 GET http://avatars.siteusercontent.com/u/76981099?s=40&v=4 200 OK (2.2 kB)",0,6,0,0,5,1,5,1,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"0.415 GET http://avatars.siteusercontent.com/u/82605399?s=40&v=4 200 OK (1.1 kB)",0,6,0,0,5,1,5,1,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"0.415 GET https://assets.siteusercontent.com/u/418982Sccs?file=../dist/img/4FqAq.svg&w=53px 200 OK (1.1 kB)",22,0,17,5,0,0,17,5,0,"networkrequests","networkrequests-path-traversal",""
"0.415 GET https://avatars.siteusercontent.com/u/6333118?s=40&v=4 200 OK (1.5 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-system-parameter",""
"0.415 GET https://avatars.siteusercontent.com/u/76981099?s=40&v=4 200 OK (2.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-system-parameter",""
"0.415 GET https://avatars.siteusercontent.com/u/82605399?s=40&v=4 200 OK (1.1 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-system-parameter",""
"0.434 GET https://www.site.com/xjs/_/js/md=1/k=xjs.s.en_GB.pLNtfuM9W8RBL.O/rs=Tq6VPJKoVspQFb3AE8IlDg_aJVLk-5zVU 200 OK (66.2 kB)",0,0,0,0,0,0,0,2,0,"networkrequests","",""
"0.485 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/%F0%9F%98%BC- 200 OK (1.5 kB)",0,0,0,0,0,0,4,2,0,"networkrequests","",""
"0.485 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/magn(et)ificent!-1571814229653.jpg 200 OK (108.0 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","",""
"0.485 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/my-rare-collectors-item!-[%CC%B2%CC%85$%CC%B2%CC%85(%CC%B2%CC%85-%CD%A1%C2%B0-%CD%9C%CA%96-%CD%A1%C2%B0%CC%B2%CC%85)%CC%B2%CC%85$%CC%B2%CC%85]-1572603645543.jpg 200 OK (71.3 kB)",0,0,0,0,0,0,7,7,0,"networkrequests","",""
"0.486 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/IMG_4253.jpg 200 OK (6.3 MB)",0,0,0,0,0,0,1,1,0,"networkrequests","",""
"0.486 GET https://juice-shop.herokuapp.com/assets/public/images/uploads/favorite-hiking-place.png 200 OK (666.7 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.528 OPTIONS https://play.site.com/log?format=json&hasfast=true&authuser=0 200 OK (0.9 kB)",0,0,0,0,0,0,3,1,0,"networkrequests","",""
"0.550 GET https://jira.site.org/rest/greenhopper/1.0/xboard/work/allData.json?rapidViewId=2051&activeQuickFilters=16212&activeQuickFilters=16220 200 OK (38.0 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.566 POST https://vmweb-va.bytesite.com/service/2/abtest_config/ 200 OK (1.5 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.581 GET https://juice-shop.herokuapp.com/rest/user/refresh-session?SESSID=odq5CI18NZTqrl3uxWdF 200 OK (0.1 kB)",17,0,14,3,0,0,14,3,0,"networkrequests","networkrequests-sessid-parameter",""
"0.595 GET https://juice-shop.herokuapp.com/rest/continue-code 200 OK (81 bytes)",0,0,0,0,0,0,1,2,0,"networkrequests","",""
"0.634 POST https://play.site.com/log?format=json&hasfast=true&authuser=0 200 OK (0.7 kB)",0,0,0,0,0,0,6,2,0,"networkrequests","",""
"0.645 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.3 kB)",0,0,0,0,0,0,4,0,0,"networkrequests","",""
"0.672 GET https://www.site.com/api/policy/notice/?aid=1568&app_language=en&browser_language=en-US&_signature=_fIICGe4dXWl0ZiFibWr3xA 200 OK (1.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.674 GET https://www.site.com/node/share/discover?aid=1568&app_language=en&browser_language=en-U&_signature=_UQdknbaYd9UzUECIQhNAQw 200 OK (10.3 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.677 GET https://www.site.com/node/share/discover/list?aid=1568&app_language=en&browser_language=en-US&_signature=_8hvsqLuYEwh4uuKSXpeuYw 200 OK (1.8 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.685 GET https://www.site.com/passport/web/account/info/?aid=1459&app_language=en&browser_language=en-US&_signature=_G0z4aUiXALZJreSXZ1NnxA 200 OK (1.0 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.697 POST https://mcs-va.site.com/v1/list?dat=%7Bdrv%3A%22KN17%22%2C%22ab%22%3A%221568%22%7D%0A 200 OK (1.2 kB)",3,0,3,0,0,0,3,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.723 GET https://www.site.com/api/ba/business/suite/permission/list/?aid=1568&app_language=en&browser_language=en-US&_signature=_02B4Z6wo00001BqueZgAAIDBBu3HJidVYbgar30AAGUf96 200 OK (1.5 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","networkrequests-unescaped-json",""
"0.782 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,4,0,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"0.969 GET https://site.com/users/microsoft/feature_preview/indicator_check 200 OK (24 bytes)",0,0,0,0,0,0,3,2,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"0.990 POST https://aan.site.com/cem 200 OK (0.6 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","networkrequests-log-endpoint",""
"1.055 GET https://site.com/dashboard/my_top_repositories?location=left 200 OK (16.8 kB)",0,0,0,0,0,0,9,2,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"1.055 GET https://site.com/dashboard/recent-activity 200 OK (0.2 kB)",0,0,0,0,0,0,7,0,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"1.055 GET https://site.com/dashboard/recent-activity?system=prod 200 OK (0.2 kB)",7,0,6,1,0,0,6,1,0,"networkrequests","networkrequests-system-parameter",""
"1.056 GET https://site.com/dashboard/my_top_repositories?location=center 200 OK (16.8 kB)",0,0,0,0,0,0,4,2,0,"networkrequests","networkrequests-system-parameter","networkrequests-insecure-http"
"1.057 GET https://site.com/conduit/filter 200 OK (9.4 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-sessid-parameter",""
"1.057 GET https://site.com/dashboard/recent-activity 200 OK (0.2 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","networkrequests-path-traversal","networkrequests-insecure-http"
"1.057 GET https://site.com/dashboard/recent-activity?system=prod 200 OK (0.2 kB)",7,0,6,1,0,0,6,1,0,"networkrequests","networkrequests-system-parameter",""
"1.059 GET https://site.com/conduit/for_you_feed 200 OK (816.4 kB)",0,0,0,0,0,0,0,1,0,"networkrequests","networkrequests-system-parameter",""
"1.128 GET https://site.com/dashboard/changelog 200 OK (3.8 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-system-parameter",""
"1.175 GET https://github.com/owner/my_repo/tree-commit/816c5e6a2b3987d7270b4abee9c021cf697046d4 200 OK (3.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-idor-read-secrets",""
"1.179 GET https://www.sitestatic.com/site/img/emojis/emojis-svg-9.json 200 OK (48.6 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"1.180 GET https://github.com/owner/my_repo/environment_status?environment=github-pages 200 OK (1.4 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-idor-read-secrets",""
"1.279 GET https://mail.site.com/_/scs/mail-static/_/js/k=mail.main.en.CE191cIHKTw.es5.O/am=Brhyb_B_KY8AAIgIErnfDvy-AAAOAC5Qc/d=1/exm=DL8jZe,E1P0kd,;JFpGO:k00cOd;O9G84b:VjR9rd/m=f 200 OK",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"1.296 POST https://mail.site.com/mail/u/0/?ui=2&ik=6e75e4f3f0&jsver=CE191cIHKTw.en..es5&cbl=mail.pinto-server_20221219.06_p0&rid=b833..&view=dd&_reqid=32057&nsc=1&rt=j 200 OK (0.1 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"1.314 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.5 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-admin-false",""
"1.314 GET https://juice-shop.herokuapp.com/rest/products/2/details 200 OK (5.98 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
"1.326 GET https://www.static.site.com/images/branding/complogo/svg/complogo_clr_74x24px.svg 200 OK (1.7 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-admin-false",""
"1.377 GET https://lh3.compusercontent.com/ogw/AOh-ky1c6c7ieuoEDLaVCiLi50HndKt4BS-LRTRKPFH_ag=s32-c-mo 200 OK (1.0 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-admin-false",""
"1.391 POST https://collector.site.com/github/collect",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-system-parameter",""
"1.418 GET https://site.com/manifest.json 200 OK (1.2 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-system-parameter",""
"1.497 POST https://api.site.com/_private/browser/stats",0,0,0,0,0,0,7,1,0,"networkrequests","networkrequests-system-parameter",""
"1.560 OPTIONS https://aan.site.com/cem 200 OK (0.6 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-path-traversal",""
"1.578 GET https://en.site.org/api/rest_v1/page/summary/List_of_Ukraine_international_footballers 200 OK (3.6 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-dev-endpoint",""
"1.604 GET https://cdn.cookielaw.org/consent/67234a6e-fe5b-4c6a-8e49-af976e0cc4e1/ae0c64f4-dc8d-42c7-8e76-fb81ba41ba96/de.json 200 OK (21.0 kB)",0,0,0,0,0,0,0,1,0,"networkrequests","",""
"1.674 POST https://aan.site.com/cem?st=%3Cscript%3Eib.push%28%22cssRules%22%2C%22insertRule%22%29%3B%3C%2Fscript%3E 200 OK (0.6 kB)",4,0,4,0,0,0,4,0,0,"networkrequests","networkrequests-unescaped-javascript",""
"1.717 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"1.728 GET https://mssdk-va.site.com/web/resource?eq=IJe-VbPyVOz/zXCkrplBzAsfMTaik6JOIg-OMrzeHlbGeYdM5VEWmvKHQ 200 OK (1.9 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","",""
"1.734 GET https://m.media-site.com/images/S/sash?f=../pack/fonts/pDxWAF1pBB0dzGB.woff2 200 OK (17.2 kB)",6,0,5,1,0,0,5,1,0,"networkrequests","networkrequests-path-traversal",""
"1.743 GET https://juice-shop.herokuapp.com/rest/products/42/reviews 200 OK (0.5 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"1.752 GET https://m.media-site.com/images/S/sash?f=../pack/fonts/KFPk-9IF4FqAqY-.woff2 200 OK (17.1 kB)",5,0,4,1,0,0,4,1,0,"networkrequests","networkrequests-path-traversal",""
"1.761 GET https://en.site.org/api/rest_v1/page/summary/Pressurized_water_reactor 200 OK (3.1 kB)",0,0,0,0,0,0,2,2,0,"networkrequests","networkrequests-path-traversal",""
"1.764 GET https://m.media-site.com/images/S/sash?f=../pack/fonts/WOnTLzkiaEccV7F.woff2 200 OK (18.0 kB)",5,0,4,1,0,0,4,1,0,"networkrequests","networkrequests-path-traversal",""
"1.801 POST https://aan.site.com/api/splunk/logdriver_api?q=send 201 Created (89 bytes)",4,0,3,1,0,0,3,1,0,"networkrequests","networkrequests-log-endpoint",""
"1.901 POST https://www.site.com/2/files/list_subfolders 200 OK (11.2 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"10.026 POST https://juice-shop.herokuapp.com/rest/products/reviews 200 OK (0.3 kB)",0,0,0,0,0,0,2,1,0,"networkrequests","",""
"10.069 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.4 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"10.112 GET https://juice-shop.herokuapp.com/rest/products/8/details 200 OK (1.52 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
"10.200 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (11 bytes)",0,0,0,0,0,0,9,5,0,"networkrequests","",""
"10.221 GET https://juice-shop.herokuapp.com/rest/products/24/reviews 200 OK (30 bytes)",0,0,0,0,0,0,5,0,0,"networkrequests","",""
"10.224 GET https://juice-shop.herokuapp.com/rest/products/24/reviews 200 OK (30 bytes)",0,0,0,0,0,0,3,0,0,"networkrequests","",""
"10.229 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.5 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","",""
"10.270 GET https://juice-shop.herokuapp.com/rest/products/6/reviews 200 OK (0.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"11.003 POST https://www.app.com/2/profile_services/impersonate?username=marlies&role=user 200 OK (2.4 kB)",0,6,0,0,5,1,5,1,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"11.162 POST https://juice-shop.herokuapp.com/rest/user/login?user=johnson&password=carrot13 200 OK (0.8 kB)",25,0,15,10,0,0,15,10,0,"networkrequests","networkrequests-cleartext-password",""
"11.527 GET https://juice-shop.herokuapp.com/assets/i18n/cs_CZ.json 200 OK (11.6 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","",""
"12.477 POST https://www.app.com/2/roles/has_owner_permissions 403 Forbidden (43 bytes)",0,0,0,0,0,0,1,1,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"12.581 POST https://www.app.com/2/account_management/get_eligibility 403 Forbidden (56 bytes)",0,0,0,0,0,0,1,0,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"12.719 GET https://juice-shop.herokuapp.com/rest/products/9/details 200 OK (4.86 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
"12.938 GET https://juice-shop.herokuapp.com/api.dev/Addresss/12 200 OK (5.6 kB)",0,4,0,0,2,2,2,2,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"12.938 GET https://juice-shop.herokuapp.com/api/Addresss/12 200 OK (0.3 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"12.938 GET https://juice-shop.herokuapp.com/api/Addresss/12 403 Forbidden (0.3 kB)",0,0,0,0,0,0,3,1,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"12.938 GET https://juice-shop.herokuapp.com/api/Addresss/13 403 Forbidden (0.3 kB)",0,0,0,0,0,0,2,1,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"12.938 GET https://juice-shop.herokuapp.com/api/Addresss/14 403 Forbidden (0.3 kB)",0,0,0,0,0,0,2,1,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"12.938 GET https://juice-shop.herokuapp.com/api/Addresss/15 403 Forbidden (0.3 kB)",0,0,0,0,0,0,2,1,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"13.264 GET https://juice-shop.herokuapp.com/rest/basket/NaN 200 OK (30 bytes)",0,0,0,0,0,0,8,3,0,"networkrequests","networkrequests-log-endpoint",""
"13.265 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,4,0,0,"networkrequests","networkrequests-log-endpoint",""
"13.415 GET https://juice-shop.herokuapp.com/assets/i18n/de_DE.json 200 OK (11.3 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","",""
"13.806 GET https://juice-shop.herokuapp.com/rest/products/10/details 200 OK (7.77 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
"13.954 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (11 bytes)",0,0,0,0,0,0,9,1,0,"networkrequests","networkrequests-cleartext-password","networkrequests-password-hashes-in-query-parameters"
"13.955 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (11 bytes)",0,0,0,0,0,0,6,1,0,"networkrequests","networkrequests-cleartext-password","networkrequests-password-hashes-in-query-parameters"
"13.956 POST https://juice-shop.herokuapp.com/rest/user/login 200 OK (0.8 kB)",0,0,0,0,0,0,7,0,0,"networkrequests","networkrequests-unescaped-json",""
"13.956 POST https://juice-shop.herokuapp.com/rest/user/login?user=maltier&hash=g5GQ7eZ7e7 200 OK (0.8 kB)",0,9,0,0,9,0,9,0,0,"networkrequests","","networkrequests-password-hashes-in-query-parameters"
"13.965 GET https://juice-shop.herokuapp.com/rest.dev/user/whoami 204 No Content",6,0,4,2,0,0,4,2,0,"networkrequests","networkrequests-dev-endpoint",""
"14.011 GET https://juice-shop.herokuapp.com/rest/2fa/status 200 OK (0.4 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"14.012 GET https://juice-shop.herokuapp.com/rest/admin/application-configuration 200 OK (7.2 kB)",0,0,0,0,0,0,5,2,0,"networkrequests","",""
"14.043 GET https://juice-shop.herokuapp.com/rest/basket/23 200 OK (0.2 kB)",0,0,0,0,0,0,6,1,0,"networkrequests","networkrequests-cleartext-password","networkrequests-password-hashes-in-query-parameters"
"14.043 GET https://juice-shop.herokuapp.com/rest/basket/23?d=%7Bitem%3A%22apple-juice%22%7D%0A 200 OK (0.2 kB)",3,0,2,1,0,0,2,1,0,"networkrequests","networkrequests-unescaped-json",""
"14.044 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,10,1,0,"networkrequests","networkrequests-cleartext-password","networkrequests-password-hashes-in-query-parameters"
"14.045 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,10,1,0,"networkrequests","networkrequests-cleartext-password","networkrequests-password-hashes-in-query-parameters"
"14.062 GET https://juice-shop.herokuapp.com/rest.dev/user/whoami 204 No Content",5,0,3,2,0,0,3,2,0,"networkrequests","networkrequests-dev-endpoint",""
"14.181 GET https://juice-shop.herokuapp.com/rest/basket/NaN 200 OK (30 bytes)",0,0,0,0,0,0,4,1,0,"networkrequests","",""
"14.181 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"14.431 GET https://juice-shop.herokuapp.com/api/Deliverys/2 200 OK (0.1 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"14.432 GET https://juice-shop.herokuapp.com/api/Addresss/12 200 OK (0.3 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"14.433 GET https://juice-shop.herokuapp.com/api/Cards/11 200 OK (0.1 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"14.467 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"15.002 GET https://juice-shop.herokuapp.com/rest/products/11/details 200 OK (6.68 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
"15.983 POST https://juice-shop.herokuapp.com/rest/basket/23/checkout 200 OK (45 bytes)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"16.033 GET https://juice-shop.herokuapp.com/api/Deliverys/2 200 OK (0.1 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"16.034 GET https://juice-shop.herokuapp.com/rest/wallet/balance 200 OK (29 bytes)",0,0,0,0,0,0,2,2,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"16.035 GET https://juice-shop.herokuapp.com/rest/admin/application-configuration 200 OK (7.2 kB)",0,0,0,0,0,0,8,2,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"16.101 POST https://www.app.com/2/account_management/list_backups 200 OK (5.8 kB)",0,2,0,0,2,0,2,0,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"16.178 GET https://juice-shop.herokuapp.com/rest/basket/23 200 OK (0.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"16.349 GET https://juice-shop.herokuapp.com/api/Quantitys/ 200 OK (0.6 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"16.350 GET https://juice-shop.herokuapp.com/rest/products/search?q= 200 OK (3.9 kB)",0,0,0,0,0,0,2,1,0,"networkrequests","",""
"16.492 GET https://juice-shop.herokuapp.com/rest/admin/application-configuration 200 OK (7.2 kB)",0,0,0,0,0,0,4,0,0,"networkrequests","",""
"16.493 GET https://juice-shop.herokuapp.com/api/Addresss/12 200 OK (0.3 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","",""
"16.603 POST https://www.app.com/2/account_management/list_external_accounts 200 OK (12.5 kB)",0,3,0,0,3,0,3,0,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"16.605 POST https://www.app.com/2/external_drive_backup/list_backups 200 OK (35 bytes)",0,3,0,0,3,0,3,0,0,"networkrequests","","networkrequests-broken-function-level-authorization"
"17.500 GET https://juice-shop.herokuapp.com/rest/products/12/details 200 OK (4.45 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
